Normalized time,Mean,Mean Western,Mean non-Western,Mean birdsong,Mean Essen,SE ,SE Western,SE non-Western,SE birdsong,SE Essen,SE high,SE high Western,SE high non-Western,SE high birdsong,SE high Essen,SE low,SE low Western,SE low non-Western,SE low birdsong,SE low Essen
0.06122449,0.152599346,0.132548249,0.175898943,0.1101,0.3916,0.105889673,0.161736031,0.131205545,0.0317,0.0218,0.258489019,0.29428428,0.307104488,0.1418,0.4134,0.046709672,-0.029187782,0.044693399,0.0784,0.3698
0.102040816,0.035679193,0.037400178,0.033679389,0.058,0.362,0.106478869,0.161060325,0.134543366,0.0335,0.0218,0.142158062,0.198460503,0.168222755,0.0915,0.3838,-0.070799676,-0.123660147,-0.100863977,0.0245,0.3402
0.142857143,-0.145345063,-0.316094995,0.053068266,0.006,0.3122,0.103738756,0.15450771,0.13335709,0.0366,0.0219,-0.041606307,-0.161587286,0.186425356,0.0426,0.3341,-0.249083819,-0.470602705,-0.080288824,-0.0306,0.2903
0.183673469,-0.15783397,-0.243371278,-0.058438662,-0.0151,0.2978,0.115911907,0.176589755,0.144043131,0.0381,0.022,-0.041922063,-0.066781523,0.085604469,0.023,0.3198,-0.273745877,-0.419961033,-0.202481793,-0.0532,0.2758
0.224489796,-0.243986562,-0.331829368,-0.14191224,-0.0552,0.2639,0.124819987,0.194640576,0.147450379,0.0409,0.022,-0.119166575,-0.137188792,0.005538139,-0.0143,0.2859,-0.368806549,-0.526469944,-0.289362619,-0.0961,0.2419
0.265306122,-0.291804673,-0.390173566,-0.177498921,-0.0985,0.2091,0.114911646,0.178314846,0.13713242,0.0432,0.022,-0.176893027,-0.21185872,-0.040366501,-0.0553,0.2311,-0.40671632,-0.568488412,-0.31463134,-0.1417,0.1871
0.306122449,-0.279483853,-0.364815855,-0.180327114,-0.1409,0.1768,0.117962144,0.184108798,0.139039745,0.0449,0.022,-0.161521709,-0.180707056,-0.041287369,-0.096,0.1988,-0.397445997,-0.548924653,-0.319366858,-0.1858,0.1548
0.346938776,-0.372060197,-0.425837626,-0.309570224,-0.2142,0.1009,0.124457301,0.198601162,0.138856687,0.0471,0.0223,-0.247602896,-0.227236464,-0.170713537,-0.1671,0.1232,-0.496517498,-0.624438788,-0.44842691,-0.2613,0.0786
0.387755102,-0.476380613,-0.521212129,-0.424285891,-0.233,0.0089,0.126895954,0.204103264,0.13846764,0.0482,0.0227,-0.349484659,-0.317108865,-0.285818251,-0.1848,0.0316,-0.603276568,-0.725315393,-0.562753532,-0.2812,-0.0138
0.428571429,-0.600635813,-0.594171417,-0.608147513,-0.26,-0.1089,0.121237382,0.184619004,0.151172331,0.0501,0.0232,-0.479398431,-0.409552413,-0.456975182,-0.2099,-0.0857,-0.721873194,-0.77879042,-0.759319843,-0.3101,-0.1321
