Normalized time,7.14.1.wav',7.14.2.wav',7.14.3.wav',7.14.4.wav'
-1,-3.509687586,0.500473158,-6.371362197,2.109627903
-0.959183673,-3.189775916,1.796426543,-5.490476823,3.74358283
-0.918367347,-3.153671924,1.772984925,-1.494470853,4.192500219
-0.87755102,-3.153725361,2.795824724,-0.767060721,4.374984663
-0.836734694,-3.242389782,5.180825832,-0.595364117,4.486870436
-0.795918367,-3.188370064,5.189522695,-0.552911729,3.911490252
-0.755102041,-2.26894761,5.247698392,-0.528417493,1.797384532
-0.714285714,-1.752887794,5.331916458,-0.451267643,-0.470660338
-0.673469388,-1.697898629,4.415203641,-0.415306141,-0.486126445
-0.632653061,-1.576864229,1.976742245,0.551108053,-0.337364178
-0.591836735,-1.530489444,2.02978749,4.370265405,-0.144169663
-0.551020408,-1.591979356,2.808228976,4.549069165,-0.096754614
-0.510204082,-1.807338377,0.631148515,1.240051591,-1.905996586
-0.469387755,-1.839593182,0.23954157,1.3184788,-2.246322093
-0.428571429,-1.424199925,0.239617061,1.462065071,-2.153063539
-0.387755102,1.116306683,0.307945473,1.407076317,-2.296695696
-0.346938776,1.82217082,0.385233537,1.476524763,-2.295280771
-0.306122449,1.867768506,0.73414905,0.897206889,-2.225740852
-0.265306122,2.074836646,1.8152795,-0.617011293,-1.915066511
-0.224489796,2.158936183,2.012057597,-0.360202529,-2.154606566
-0.183673469,3.130074308,1.947233035,-3.337591968,-0.38991941
-0.142857143,3.608002586,1.928290061,-3.361125309,-0.446862005
-0.102040816,3.67904272,2.060166506,-2.25026836,-0.418776369
-0.06122449,3.793986375,1.959259189,-3.790400955,-0.511558913
-0.020408163,3.979470476,1.979533474,-3.529739976,-0.399336457
0.020408163,5.420599053,2.0703465,-3.440797011,-0.438923028
0.06122449,5.744688012,2.095099233,-3.430736637,-0.452192894
0.102040816,5.523721348,2.007626841,-3.441855237,-0.428403724
0.142857143,3.593768837,1.506393175,-1.498903642,-0.289103684
0.183673469,3.77216387,-2.766538988,0.37874974,-0.349081411
0.224489796,3.838643591,-2.749368609,1.199499338,-0.280227445
0.265306122,3.858003839,-2.668298261,1.398624167,0.4607588
0.306122449,0.125345875,-4.298512293,1.894675738,2.381431645
0.346938776,-1.38200279,-4.764429902,4.342504609,2.546488655
0.387755102,-1.257378722,-4.626269861,4.415018155,2.692048237
0.428571429,-1.080020392,-2.907810103,4.53209259,2.769979587
0.469387755,-1.903653496,-2.820201855,3.403609632,2.930422098
0.510204082,-1.265334718,-2.760461869,1.16557245,0.581732778
0.551020408,2.16337976,-2.714194043,1.411125888,-0.353706227
0.591836735,-1.292328443,-2.680940939,1.646116279,-0.238475618
0.632653061,-1.29295737,-1.396291341,1.175118285,-0.377531216
0.673469388,-1.207505133,0.077221484,-0.723032203,1.190781574
0.714285714,0.491225501,-0.533335197,-0.571312765,-0.601701148
0.755102041,2.249073925,-3.038430058,-0.321575437,-2.021669771
0.795918367,-1.007561742,-2.890185172,-0.281526667,-2.416186184
0.836734694,-0.991874638,-2.551302174,-0.221899283,-2.287626895
0.87755102,-0.920711703,-2.764001334,0.027778021,-2.121038653
0.918367347,-4.068937721,-4.701386904,1.095515696,-2.269419682
0.959183673,-5.627064906,-4.790016187,1.18926703,-2.465017746
1,-5.736634711,-4.639005201,1.250680286,-2.286596411
-0.673469388,-1.881725981,2.402889484,-0.017176385,0.716706289
0,3.510565764,0.602044751,-1.455617315,-0.491100552
0.673469388,-1.419428665,-2.97064945,1.384414857,-0.278089213
